Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples
Scanning: E:\Xcluded\Samples\5c6773ab37864267b92c7beb42dcfff7
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\785dbde8020c48c68156385bab4e3eae
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\98a926d1d80d496997107b13ab027284
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\307aca6f948e4a5f81920eb875da20ae
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\ee7b9f28522a466ebc8a1febebeaaee5
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\a9d6cb81c086481ca5dd1fc0dce4b79d
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\53e835bbf5f848e8be83c0506974066d
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\99c2acf5e37f42a1876c5867f8550dcd
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\e22acee1ab6b4b408d5a19093c6be370
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\8cb5e522c4ec40abb476b7ef9084e88a
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\31a48bab3c7d4a89be03384041da00f0
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\df991b0c148c4094854d2b3a39d384a8
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\c0c0b6c6836f4ef29a8f577dc15629a6
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\4270386b61b841af911cb3e69a818f36
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\526e62c8366d4bdfb2ae82c71ef19278
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\89714b6beb49424e93c4e9c9296302ae
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\3744723c98d340eeb406d72e61b3ee5d
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\3cb084b0c14a4d85a6932011c91ec6d2
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\9c0c5800b11e4ab183382868f852e267
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\bd7a60c4823a4b50bb0552599e091e70
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\dbda25701a9d4d5d916a1df2998b03af
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\2eb9c09cded141b09ea89b99bbaf585e
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\6ea0ec3147a5432aab422515294950c3
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\5ec94d21ed6a4806bda42387a9bb5cb9
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\fcfaceaa41004d0caa2041dcf34201b6
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\3ad437480dcb4f279fb901e1df88be95
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\99a02d0098e1448eb56113d94bb731b8
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\a2ed877a882b469cb41cc77323e2f1cd
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\2a93a02c11134e2ba688ff41623b33f5
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\fc4ca98ea75e49c0823c91e33670a115
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\e6e6ff4d42b94342a008ebde914c6e17
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\ac4d33ac30a14649b4b4e2dfdffce280
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\67c6d0cd1e1c408997a10feaa88bed26
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\dceafbe407104d0abf002431aaa5f998
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\953ecbe3edeb426eb937f690cab2d3a5
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\bf9eddbbe4b8499798ebbadd54d26682
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\d550accf41c6447ea6a032366f0ead63
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\88d5d18280c64187a40387a54b63fed7
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\26c9c870edba4bcf8406adacc9d1c179
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\f67585bea33f4772861098fb2eba39bf
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\d62071f4755c4728b8ed43b3a7079e35
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\1dfb6a3273f14ea5aa3bc5bcc7a2240b
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\87010062d1aa49919b6d28dab2646482
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\948cbd328f7e4e8d88db81bd0c484bce
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\d0adab0196fd409695c9fcd5834e42e5
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\62cf6771528a4724981024442d8a7f71
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\dadc67978951411989039e58589ab639
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\71139a0ef3d6405dbd1763dd67eaa863
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\ac7b408da3604b6abd1079f64c480d5d
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\6334ad5ae78f492886c9efc1f2621024
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\99be1a76df7b4772bfb84b75de3dd34a
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\f895c5f1a7214fc086f9386471a6b1c3
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\9729cf256a3f426fb8fda70ebb80bdb6
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\e46d9b76feb448c291eb92971b2bd61e
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\16721a15841d4ca89a68b1cd02b64b1d
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\2f0df4949cc742478f8a10e0758c6ab0
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\55c14129d5ce4761b19eeeed265b9d97
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\fd08ac952e9c4766816afae4297886d4
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\2ed774e978444b88bf80bdede60fc361
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\9e7647d72e18425ab3233fe676362e55
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\8e9fe80e62994d869e70f15a4c0bd07f
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\c702ec98b84c4778a81fe60eaab06c11
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\a65bc22ab6684fd9b0ec8f655ff3eac5
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\9b37b8bc19514d2abe361f8ba4fdf73d
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\597444b337f4498eb78c4b75326ea88a
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\deedb9d208404bf6b3d856498a8ffb57
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\b2b409aad4f74298abb7811e8905dff1
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\abafe1975e26484c83d32cc99b98e097
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\64851a66839b49be8c7c39c4efeb60b3
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\3c4f62e87af94bd889362deda5e20317
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\3ae910c8843f4c79843e93abfb098820
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\ae7320bf42924f2bb3683158ea461c8c
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\86bb02c1dcea493183206eb8546bb09a
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\4ee88316307e4d128890c7bf7469c8ba
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\c3403d39e7fc45d29b2cf51295a2b1f3
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\509b9d6ac02449e6a27af9719f5a52ee
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\c7631a79a3ee4d79bd5cf6e9fcd2916c
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\e1eaa28080cf43c288a668d0b4e8540c
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\579b1ebf860344a7bdc47d5ca047b86e
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\2ac8f2500a474109b167fc564d50b585
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\a4f4e734c4c84e079928bec1fda57a24
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\2378e8a307734a6095a53d741740981b
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\9f86b46b5faf4912b4db2158814ca3cb
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\e221457330074489a60d656ffded9a9d
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\b1cff2f8407b4e909fa7c9e35d58eb75
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\8241e94610304a3783a6e3d6a11a530e
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\18f6195a170b426d877516a7e5ab597f
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\2820424024814bec8bf94ce78d355ebb
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\9a4c982ead7742aa83e5b9dd29dfe742
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\e39e22684669440599dc538db2980207
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\76192a47bcbe4af7a9552909c33d9e7c
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\acb8ff0f832a41aea3ffd1f19ccb538f
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\03c7220bf91a4a189b7c42c3e2f25e5c
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\138aba6bea32487ea582bbd30dbb5aed
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\aa648f2eb3b64b34b937a2746a5017f1
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\2451e5af9ed748f5b051248dc24ea5d7
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\0177661dafd94f89b017f96a19edd474
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\59f94183b75747c1910bbe251db2b900
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\762b07c067284dfbac139fd784f01624
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\324a85832ed24c15ab5a5faaab7ba572
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\ede93bf7a4ce4402acf1d533af11e8e8
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\3b13d69b639f4169967556cee9e997aa
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\8bc57abba28d45f6be3cc411a6fa3fd1
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\be3c887936784022b163e5157daf3f9f
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\535baa8f156544af8d4cc7343775fa80
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\3c939416f9a14dbe83591aad895544de
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\6d791780af4747699bd508d5c6017558
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\47e3cef4bedd4f0d8bcc5b75a837c423
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\41f43a6744c24a7b8a7d8a22f74fec49
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\75d57e539cf644008f9fb494c1122700
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\2adf059603c24cfcafcbcad5ac2c5583
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\0fcb36ad0f5247dda7b39b23e0c8ad73
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\0d5da00fd6eb4fe98b6a2bf63c413ca0
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\4d82df98f5a548b2870d512a120b5667
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\6211710e92d8487bb892805fd586d4b1
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\f35838456a914627a1987aa4936ad92c
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\71b1211cfaa1411d893339e9fad71d2b
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\0f70a5c2ced34daabdd0355a3f2e55ed
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\b8fbd3695e804cb398d623a964cf09d9
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\3a53ceff31d6456793d7483004ad7dca
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\3d238227ece34299a97025c73c028548
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\3022b70e878243a4aa00c3d5f3a18338
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\660ccf81674249c4a575d9d07706761d
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\ba0493baa6a0439ba63039634cebfff1
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\83823f1294aa4b0995d9e329ef82c73f
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\cfdb4f9e4b2a4c959270dcbe80a9e2bc
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9f6fdebf26304bee9af7e23d2481ee27
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\ec1fb4c92c294850ac42c7fffb0703d1
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\78f3df244bf04c4eae0e285955a5e2e1
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\23fa2449df664fd8b1b54360cbd18990
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\259bf637a7474e7ca2204372e436420b
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\500d8122778b4ab8bd93ed1e00c98e6c
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\b8b53ba0c87f4872b7cda8b3d96cb17c
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\a31f717d3df04dc29209821eec88ad8f
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\0cd54b9f05e64639a3605e0d440737ae
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\c7c4f3382c384afa817793fbe8d07aa2
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\563dad37e5564038a7f3c33701d703ca
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\e9c6736e07a2410e8b1df4609802d096
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\99595bf512db46d4b3a37db9c9b6256c
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\e6dd073bcc30489dbfb2a52aed574bcb
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\c2a7db8e2d8f4d0f818e9f51a20e3331
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\c2eaefdc3e0f42e8853acda975c26a92
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\8d31ac04884740bf8316a645c9cdd538
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\c8b621d90cd64ca9aac50a90a63b5213
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\05548f2ebfc448ac956b2ceae24960d8
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\161bf97eacca455c95f3ce54abbc1837
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\4deb287be26d473aadd29db7b3db3b60
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\8c282a2348d3497fa6dd21cb11dc174a
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\5e891701d35243c5b083e162860c15b0
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\4d38ed0ecf8d4154b0213047f2f00d80
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\d5e7c169cf9a4937a606437b698de869
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\1a7fde3eed464d98a78c0e13f8277058
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\1240c797935441c1b5ce78c2c4c606ed
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\5486336044984ab4b78d06b1632d4591
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\2e68544405c34891a729ea49282d0272
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\eafb2de4c98c46e8a9ee9e95531dcc4d
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\74b817d391514c678a623851efcf1e86
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\a2ea2a28ab014adfa9009c668a628181
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\f82818810a7a4002ae589806284b75b4
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\3943e4226d314787bc9da7466a07f295
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\3c58d68064d541dda961fb1f5945d115
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\73a9e443d2b24a8bbf395e80e8035181
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\ea71c805748545e19a4ea6270cd9b4e4
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\8cdbf6fa997f43baac11f94db125ae38
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\49995b177c254e77a7c833652ae8c968
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\b58c55a7379e4ef0b12ca036ebf9eb2e
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\77edf3728f3d47979288266e9497717b
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\c1a062dbe7824a79be66c4eb63ca7665
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\8662259a80304c789575030986df5aa7
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\e0e536e5fdbb4351a99c3abd1cc3414a
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\9c2c61dcdabd42e79f04bd44733d89cc
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\66d1da8a61694163b195c113314f75ad
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\53bb2624007547c6ab54642d4e08dfb9
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\1a64bf6315314c6c80d63632f54cc0fe
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\a45c072653e249f3a23a29c14f382375
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\a6a293b08af74c318bf7bf4f248a1682
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\809a0e87bbd14ed5ae43f88c48bfe1f0
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\713ed59ed1424d98a6ff25e90548260c
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\5c270c2162b343cd8cc961675e3965b2
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\c607e499c94e4cb6b3fc1133a9b23ce6
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\d429d64dc3ac4b1f8b1601fda3471a18
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\dfb69a30c9084422841746de67b3020f
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\0b572f827fb64da099ff87748a64f245
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\c5af42a19c0841c893312d93bb59ec92
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\57ce1d9aa293429b999199ad5f4ddeb3
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\b220345aba9645f38be7f704e3ef7c9a
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\b0196ef3214545b882841ac1f184396b
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\e26f4b8c69e1451f9e4079c5a73d3e8c
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\34cb63eb49614ebc9d6bbbbda9b917f4
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\f1ce22b394fd46a997bf5a0deead80d1
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\913fd412950a4fba96e36dea67f2c8d6
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\72e5664d260c493ba547103ff15cb3a2
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\6adc8d5358724df08780165b5a967bef
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\8b19c6a44a0d4ccfa0f87ba99022476d
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\4f0fd3565cf549859f3f2f205f98c8f2
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\8c8e4400e969434ab7da78ecea9b2847
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\5c5bf45bdc1f4aab99fb05c0a5384620
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\f5c2320d624c4dd9b264fa80dd53fbb8
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\519557a050f848d6b8abd62fe90eb36b
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\2059f8565e934250b57c1496679e936f
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\e970722f6a7e4290ba362fd4e1856023
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\f0940656cf58430eb302f3f18c477aba
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\fd0bafde8fa04b76b80afcfae0e9ba81
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\36631f9a203446ad90aaf9c38926959a
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\b4ca0a95df804cc4bd8b09bf7a871be0
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\6a008c93149f4e2abd75cfb301e59eec
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\6d1e7bedffda429fa39d9eb3e782a6f5
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\611acf60be3a418496fc93a514c976af
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\215cce0651db47c78119b3284b49597c
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\4b9b660905ee4b25a066bda4fbe32328
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\dd59f080f1a84260a94378a84229d2e0
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\32ab46d375d14c52ac94ade95872e82f
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\fc32ebfb760c4fcb9266f12a8a543b91
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\e3f050f720f24f37a6e12e34e571cd7c
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\e8f5721e0a21483fafa22628f5793697
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\2801a201f201447989deeff159a0b182
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\748fb5c3e17f4c4d88819cb3cea0e5f3
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\3d87799bd7bd4cb28c13ba6cf649ca47
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\130e75ae0c1444b1b0c5dacab5ac0a80
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\9da93dfd9b1d44a5818f75d55bc85a08
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\c44f97aabe5f46c0b3b706241ed2b4fb
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\f30e9f8dcb7d4e1fa003aa39ecdbc82b
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\b2418caedd9345c1a25f4761e57c7f62
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\509d4bd6bd234236a0a1abad39d90178
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\5f415f41ef9b4c5e9fd55756253c7415
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\4b8281bb7b094318afa7fa5d4fb4f3f2
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\1402212270cd495c8579ea3042ada475
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\eb750446aa164382a03a0e9533ad4b8d
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\568c87de1a874474a6eb6225211d20da
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\4972e98d7d254d2cb10c572bc63decff
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\30530aadfd2543178538c6dc2c6a64c2
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b15bc79ad5c6460e9ec8ba3e06fc65d6
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\6cab6e8b500d4eb095f50911235c7c5e
